Dataset	Experiment ID	Experiment Tag	MS Runs	Spectra Searched	Spectra ID'd	%Spectra ID'd	Distinct Peptides	Unique Peptides	Added Peptides	Cumulative Peptides	Distinct Canonical Proteins	Unique Canonical Proteins	Unique All Proteins	Added Canonical Proteins	Cumulative Canonical Proteins	Date Added	Pubmed Id or DOI	Instrument Name	Sample Category
PXD000529	6451	Hs_HCC_r1	96	1,546,542	584,940	37.82 %	93,731	541	36,431	203,690	6,027		21	515	8,965	2014-09-16	24256510,24256544,24	Q Exactive	Cancer Cell Lines, Liver
PXD000533	6459	Hs_HCC_r2	96	2,167,835	882,349	40.70 %	127,689	2,721	43,557	247,247	6,886		35	443	9,408	2014-09-16	24256510,24256544,24	Q Exactive	Cancer Cell Lines, Liver
PXD000535	6456	Hs_HCC_r3	96	3,746,178	1,136,700	30.34 %	118,832	1,788	16,130	263,377	6,837		7	176	9,584	2014-09-16	24256510,24256544,24	Orbitrap Elite	Cancer Cell Lines, Liver
PXD000561,RPXD001150	6348	Adult_Adrenalgland_bRP_Velos	36	145,580	31,411	21.58 %	4,146	38	1,049	264,426	564			32	9,616	2014-05-06	24669763	LTQ Orbitrap Velos	Adrenal Gland
PXD000561,RPXD001150	6349	Adult_Adrenalgland_Gel_Elite	24	359,022	116,640	32.49 %	34,413	80	3,529	267,955	3,100		3	65	9,681	2014-05-06	24669763	Orbitrap Elite	Adrenal Gland
PXD000561,RPXD001150	6346	Adult_Adrenalgland_Gel_Velos	26	139,526	73,216	52.47 %	13,721	35	841	268,796	1,396		13	13	9,694	2014-05-06	24669763	LTQ Orbitrap Velos	Adrenal Gland
PXD000561,RPXD001150	6282	Adult_Bcells_bRP_Elite	24	393,469	174,868	44.44 %	62,557	545	12,709	281,505	4,686		15	198	9,892	2014-05-06	24669763	Orbitrap Elite	Blood Cells
PXD000561,RPXD001150	6281	Adult_Bcells_bRP_Velos	32	180,184	28,433	15.78 %	8,552	185	3,333	284,838	950			10	9,902	2014-05-06	24669763	LTQ Orbitrap Velos	Blood Cells
PXD000561,RPXD001150	6308	Adult_Bcells_Gel_Elite	24	420,827	130,643	31.04 %	31,342	34	2,070	286,908	2,654		1	9	9,911	2014-05-06	24669763	Orbitrap Elite	Blood Cells
PXD000561,RPXD001150	6322	Adult_CD4Tcells_bRP_Elite	24	306,409	103,187	33.68 %	50,138	108	5,569	292,477	4,108			66	9,977	2014-05-06	24669763	Orbitrap Elite	Blood Cells
PXD000561,RPXD001150	6345	Adult_CD4Tcells_bRP_Velos	24	151,246	56,434	37.31 %	25,792	10	464	292,941	2,707		1	2	9,979	2014-05-06	24669763	LTQ Orbitrap Velos	Blood Cells
PXD000561,RPXD001150	6268	Adult_CD4Tcells_Gel_Velos	42	246,535	71,752	29.10 %	17,069	41	579	293,520	1,642			2	9,981	2014-05-06	24669763	LTQ Orbitrap Velos	Blood Cells
PXD000561,RPXD001150	6305	Adult_CD8Tcells_bRP_Elite	27	393,873	198,864	50.49 %	51,026	65	3,521	297,041	4,581		3	61	10,042	2014-05-06	24669763	Orbitrap Elite	Blood Cells
PXD000561,RPXD001150	6283	Adult_CD8Tcells_bRP_Velos	23	118,822	35,713	30.06 %	8,477	10	509	297,550	1,148		3	0	10,042	2014-05-06	24669763	LTQ Orbitrap Velos	Blood Cells
PXD000561,RPXD001150	6324	Adult_CD8Tcells_Gel_Elite	24	406,913	193,771	47.62 %	52,064	34	2,129	299,679	4,114			27	10,069	2014-05-06	24669763	Orbitrap Elite	Blood Cells
PXD000561,RPXD001150	6266	Adult_CD8Tcells_Gel_Velos	38	145,356	36,886	25.38 %	7,878	31	293	299,972	953		1	0	10,069	2014-05-06	24669763	LTQ Orbitrap Velos	Blood Cells
PXD000561,RPXD001150	6117	Adult_Colon_bRP_Elite	24	324,555	129,341	39.85 %	39,860	40	4,073	304,045	3,736		2	68	10,137	2014-05-06	24669763	Orbitrap Elite	Digestive System
PXD000561,RPXD001150	6192	Adult_Colon_Gel_Elite	24	380,576	91,129	23.95 %	19,304	3	595	304,640	1,457			3	10,140	2014-05-06	24669763	Orbitrap Elite	Digestive System
PXD000561,RPXD001150	6163	Adult_Esophagus_bRP_Elite	24	338,465	58,989	17.43 %	11,955	27	2,552	307,192	1,076			57	10,197	2014-05-06	24669763	Orbitrap Elite	Digestive System
PXD000561,RPXD001150	6123	Adult_Esophagus_bRP_Velos	24	182,080	39,299	21.58 %	14,808	18	1,360	308,552	1,331		10	14	10,211	2014-05-06	24669763	LTQ Orbitrap Velos	Digestive System
PXD000561,RPXD001150	6168	Adult_Esophagus_Gel_Velos	24	186,270	101,360	54.42 %	16,481	19	1,172	309,724	1,406			11	10,222	2014-05-06	24669763	LTQ Orbitrap Velos	Digestive System
PXD000561,RPXD001150	5990	Adult_Frontalcortex_bRP_Elite	44	738,994	250,178	33.85 %	61,825	776	14,622	324,346	4,255		4	340	10,562	2014-05-06	24669763	Orbitrap Elite	Brain
PXD000561,RPXD001150	5994	Adult_Frontalcortex_Gel_Elite	24	337,757	144,888	42.90 %	35,698	42	1,605	325,951	2,730		1	10	10,572	2014-05-06	24669763	Orbitrap Elite	Brain
PXD000561,RPXD001150	6113	Adult_Gallbladder_bRP_Elite	24	348,787	134,046	38.43 %	34,086	254	6,637	332,588	3,023		1	88	10,660	2014-05-06	24669763	Orbitrap Elite	Digestive System
PXD000561,RPXD001150	6143	Adult_Gallbladder_Gel_Elite	24	425,300	131,283	30.87 %	17,872	7	384	332,972	1,427		1	6	10,666	2014-05-06	24669763	Orbitrap Elite	Digestive System
PXD000561,RPXD001150	5999	Adult_Heart_bRP_Elite	48	696,560	183,757	26.38 %	26,224	139	4,366	337,338	1,751		1	37	10,703	2014-05-06	24669763	Orbitrap Elite	Heart
PXD000561,RPXD001150	6001	Adult_Heart_bRP_Velos	26	214,126	54,501	25.45 %	17,630	83	1,607	338,945	1,331		2	4	10,707	2014-05-06	24669763	LTQ Orbitrap Velos	Heart
PXD000561,RPXD001150	6000	Adult_Heart_Gel_Elite	24	306,494	141,932	46.31 %	25,211	70	1,466	340,411	1,791		1	14	10,721	2014-05-06	24669763	Orbitrap Elite	Heart
PXD000561,RPXD001150	6003	Adult_Heart_Gel_Velos	24	211,960	66,566	31.40 %	10,110	22	252	340,663	840			1	10,722	2014-05-06	24669763	LTQ Orbitrap Velos	Heart
PXD000561,RPXD001150	6004	Adult_Kidney_bRP_Velos	24	210,838	52,736	25.01 %	17,448	29	1,575	342,238	1,705		3	34	10,756	2014-05-06	24669763	LTQ Orbitrap Velos	Kidney
PXD000561,RPXD001150	6005	Adult_Kidney_Gel_Elite	32	264,067	86,907	32.91 %	26,398	24	1,038	343,276	2,283			19	10,775	2014-05-06	24669763	Orbitrap Elite	Kidney
PXD000561,RPXD001150	6007	Adult_Kidney_Gel_Velos	31	228,415	124,275	54.41 %	17,482	17	646	343,922	1,518		1	13	10,788	2014-05-06	24669763	LTQ Orbitrap Velos	Kidney
PXD000561,RPXD001150	6098	Adult_Liver_bRP_Elite	24	392,674	160,679	40.92 %	43,398	26	3,145	347,067	3,561		8	68	10,856	2014-05-06	24669763	Orbitrap Elite	Liver
PXD000561,RPXD001150	6094	Adult_Liver_bRP_Velos	25	209,401	46,023	21.98 %	18,878	86	2,416	349,483	1,611		4	7	10,863	2014-05-06	24669763	LTQ Orbitrap Velos	Liver
PXD000561,RPXD001150	6093	Adult_Liver_Gel_Elite	24	309,426	94,793	30.64 %	23,170	28	560	350,043	1,803			7	10,870	2014-05-06	24669763	Orbitrap Elite	Liver
PXD000561,RPXD001150	6095	Adult_Liver_Gel_Velos	26	179,718	76,730	42.69 %	11,831	27	676	350,719	906		1	2	10,872	2014-05-06	24669763	LTQ Orbitrap Velos	Liver
PXD000561,RPXD001150	6010	Adult_Lung_bRP_Velos	24	201,336	45,453	22.58 %	15,127	29	1,343	352,062	1,411			7	10,879	2014-05-06	24669763	LTQ Orbitrap Velos	Lung
PXD000561,RPXD001150	6008	Adult_Lung_Gel_Elite	24	309,718	88,495	28.57 %	22,121	9	345	352,407	2,022		6	6	10,885	2014-05-06	24669763	Orbitrap Elite	Lung
PXD000561,RPXD001150	6011	Adult_Lung_Gel_Velos	26	186,850	56,815	30.41 %	7,853	19	179	352,586	673		1	2	10,887	2014-05-06	24669763	LTQ Orbitrap Velos	Lung
PXD000561,RPXD001150	6294	Adult_Monocytes_bRP_Elite	27	334,011	109,523	32.79 %	50,654	355	8,276	360,862	3,740		4	45	10,932	2014-05-06	24669763	Orbitrap Elite	Blood Cells
PXD000561,RPXD001150	6326	Adult_Monocytes_bRP_Velos	25	148,617	49,208	33.11 %	23,168	19	490	361,352	2,265			0	10,932	2014-05-06	24669763	LTQ Orbitrap Velos	Blood Cells
PXD000561,RPXD001150	6255	Adult_Monocytes_Gel_Velos	39	179,117	57,645	32.18 %	12,173	17	648	362,000	1,112		1	5	10,937	2014-05-06	24669763	LTQ Orbitrap Velos	Blood Cells
PXD000561,RPXD001150	6309	Adult_NKcells_bRP_Elite	28	491,302	99,798	20.31 %	22,202	539	4,320	366,320	2,034			6	10,943	2014-05-06	24669763	Orbitrap Elite	Blood Cells
PXD000561,RPXD001150	6298	Adult_NKcells_bRP_Velos	24	140,046	15,637	11.17 %	6,309	7	78	366,398	721			2	10,945	2014-05-06	24669763	LTQ Orbitrap Velos	Blood Cells
PXD000561,RPXD001150	6340	Adult_NKcells_Gel_Elite	24	424,821	203,455	47.89 %	50,994	68	1,198	367,596	3,868		1	14	10,959	2014-05-06	24669763	Orbitrap Elite	Blood Cells
PXD000561,RPXD001150	6276	Adult_NKcells_Gel_Velos	30	125,014	26,528	21.22 %	4,202	5	22	367,618	473			0	10,959	2014-05-06	24669763	LTQ Orbitrap Velos	Blood Cells
PXD000561,RPXD001150	6229	Adult_Ovary_bRP_Elite	24	379,925	196,651	51.76 %	56,850	49	2,330	369,948	4,438		4	58	11,017	2014-05-06	24669763	Orbitrap Elite	Ovary
PXD000561,RPXD001150	6220	Adult_Ovary_Gel_Elite	24	334,651	144,882	43.29 %	51,888	85	3,515	373,463	3,815		4	163	11,180	2014-05-06	24669763	Orbitrap Elite	Ovary
PXD000561,RPXD001150	6013	Adult_Pancreas_bRP_Elite	24	349,870	142,530	40.74 %	48,823	99	2,399	375,862	4,871			57	11,237	2014-05-06	24669763	Orbitrap Elite	Pancreas
PXD000561,RPXD001150	6014	Adult_Pancreas_Gel_Elite	24	163,637	29,808	18.22 %	12,291	7	119	375,981	1,288			1	11,238	2014-05-06	24669763	Orbitrap Elite	Pancreas
PXD000561,RPXD001150	6302	Adult_Platelets_bRP_Velos	25	157,112	67,191	42.77 %	21,086	22	1,457	377,438	1,899			34	11,272	2014-05-06	24669763	LTQ Orbitrap Velos	Blood Cells
PXD000561,RPXD001150	6343	Adult_Platelets_Gel_Elite	24	461,304	167,106	36.22 %	25,261	77	1,052	378,490	2,121			11	11,283	2014-05-06	24669763	Orbitrap Elite	Blood Cells
PXD000561,RPXD001150	6286	Adult_Platelets_Gel_Velos	38	232,778	65,157	27.99 %	13,093	36	313	378,803	1,275			1	11,284	2014-05-06	24669763	LTQ Orbitrap Velos	Blood Cells
PXD000561,RPXD001150	6233	Adult_Prostate_bRP_Elite	24	435,742	173,402	39.79 %	47,667	42	1,435	380,238	4,315		1	33	11,317	2014-05-06	24669763	Orbitrap Elite	Other Male Reproductive Organ
PXD000561,RPXD001150	6235	Adult_Prostate_Gel_Elite	24	383,520	159,026	41.46 %	32,714	41	650	380,888	2,465		7	11	11,328	2014-05-06	24669763	Orbitrap Elite	Other Male Reproductive Organ
PXD000561,RPXD001150	6181	Adult_Rectum_bRP_Elite	24	306,944	138,781	45.21 %	40,409	122	1,572	382,460	3,382		1	5	11,333	2014-05-06	24669763	Orbitrap Elite	Digestive System
PXD000561,RPXD001150	6171	Adult_Rectum_Gel_Elite	25	378,465	135,406	35.78 %	27,714	10	205	382,665	2,167		3	1	11,334	2014-05-06	24669763	Orbitrap Elite	Digestive System
PXD000561,RPXD001150	5996	Adult_Retina_bRP_Elite	24	409,100	205,422	50.21 %	58,200	606	4,930	387,595	5,493	1	117	224	11,558	2014-05-06	24669763	Orbitrap Elite	Eye
PXD000561,RPXD001150	5995	Adult_Retina_Gel_Elite	24	293,334	99,264	33.84 %	35,755	160	845	388,440	2,992		3	7	11,565	2014-05-06	24669763	Orbitrap Elite	Eye
PXD000561,RPXD001150	5997	Adult_Retina_Gel_Velos	31	181,080	74,321	41.04 %	17,243	65	261	388,701	1,538		8	1	11,566	2014-05-06	24669763	LTQ Orbitrap Velos	Eye
PXD000561,RPXD001150	6258	Adult_Spinalcord_bRP_Elite	24	427,773	171,841	40.17 %	43,611	142	1,983	390,684	3,702		5	22	11,588	2014-05-06	24669763	Orbitrap Elite	Other Anatomical Entities
PXD000561,RPXD001150	6271	Adult_Spinalcord_Gel_Elite	24	299,223	94,941	31.73 %	25,807	48	260	390,944	2,027		2	0	11,588	2014-05-06	24669763	Orbitrap Elite	Other Anatomical Entities
PXD000561,RPXD001150	6240	Adult_Testis_bRP_Elite	24	370,362	211,545	57.12 %	73,438	183	5,033	395,977	6,159		3	225	11,813	2014-05-06	24669763	Orbitrap Elite	Testis
PXD000561,RPXD001150	6236	Adult_Testis_Gel_Elite	24	319,929	123,059	38.46 %	40,851	24	449	396,426	3,016		1	3	11,816	2014-05-06	24669763	Orbitrap Elite	Testis
PXD000561,RPXD001150	6101	Adult_Urinarybladder_bRP_Elite	24	402,617	179,045	44.47 %	46,677	54	1,145	397,571	3,663		6	19	11,835	2014-05-06	24669763	Orbitrap Elite	Urinary Bladder
PXD000561,RPXD001150	6100	Adult_Urinarybladder_Gel_Elite	49	778,048	236,410	30.39 %	22,791	37	469	398,040	1,660			0	11,835	2014-05-06	24669763	Orbitrap Elite	Urinary Bladder
PXD000561,RPXD001150	5991	Fetal_Brain_bRP_Elite	24	358,379	102,513	28.60 %	32,200	136	2,535	400,575	3,422		2	44	11,879	2014-05-06	24669763	Orbitrap Elite	Brain
PXD000561,RPXD001150	5993	Fetal_Brain_Gel_Velos	29	218,768	117,261	53.60 %	26,393	33	847	401,422	2,716		1	12	11,891	2014-05-06	24669763	LTQ Orbitrap Velos	Brain
PXD000561,RPXD001150	6147	Fetal_Gut_bRP_Elite	48	868,359	229,456	26.42 %	39,366	457	5,217	406,639	3,014			31	11,922	2014-05-06	24669763	Orbitrap Elite	Digestive System
PXD000561,RPXD001150	6202	Fetal_Gut_Gel_Velos	24	235,402	98,885	42.01 %	38,177	23	798	407,437	2,889			3	11,925	2014-05-06	24669763	LTQ Orbitrap Velos	Digestive System
PXD000561,RPXD001150	5998	Fetal_Heart_bRP_Elite	53	705,299	350,766	49.73 %	70,040	1,029	8,767	416,204	4,549			31	11,956	2014-05-06	24669763	Orbitrap Elite	Heart
PXD000561,RPXD001150	6002	Fetal_Heart_Gel_Velos	51	405,380	206,096	50.84 %	35,693	57	731	416,935	2,767			4	11,960	2014-05-06	24669763	LTQ Orbitrap Velos	Heart
PXD000561,RPXD001150	6092	Fetal_Liver_bRP_Elite	58	806,805	326,876	40.51 %	62,026	1,002	6,608	423,543	4,071		3	24	11,984	2014-05-06	24669763	Orbitrap Elite	Liver
PXD000561,RPXD001150	6091	Fetal_Liver_Gel_Velos	27	180,825	107,141	59.25 %	18,220	10	130	423,673	1,920			1	11,985	2014-05-06	24669763	LTQ Orbitrap Velos	Liver
PXD000561,RPXD001150	6230	Fetal_Ovary_bRP_Elite	24	277,466	138,687	49.98 %	57,164	507	6,387	430,060	4,390			19	12,004	2014-05-06	24669763	Orbitrap Elite	Ovary
PXD000561,RPXD001150	6224	Fetal_Ovary_bRP_Velos	26	153,547	77,218	50.29 %	19,674	143	795	430,855	2,383		8	1	12,005	2014-05-06	24669763	LTQ Orbitrap Velos	Ovary
PXD000561,RPXD001150	6217	Fetal_Ovary_Gel_Velos	24	208,048	105,645	50.78 %	41,654	35	563	431,418	3,606		8	9	12,014	2014-05-06	24669763	LTQ Orbitrap Velos	Ovary
PXD000561,RPXD001150	6296	Fetal_Placenta_bRP_Elite	24	294,328	68,486	23.27 %	21,756	33	804	432,222	2,227			18	12,032	2014-05-06	24669763	Orbitrap Elite	Placenta
PXD000561,RPXD001150	6270	Fetal_Placenta_Gel_Velos	27	193,939	95,850	49.42 %	16,975	19	218	432,440	1,814		2	4	12,036	2014-05-06	24669763	LTQ Orbitrap Velos	Placenta
PXD000561,RPXD001150	6232	Fetal_Testis_bRP_Elite	29	420,526	164,252	39.06 %	52,531	496	3,305	435,745	4,309		1	11	12,047	2014-05-06	24669763	Orbitrap Elite	Testis
PXD000561,RPXD001150	6241	Fetal_Testis_Gel_Velos	28	127,374	60,333	47.37 %	21,999	31	233	435,978	2,402		3	6	12,053	2014-05-06	24669763	LTQ Orbitrap Velos	Testis
PXD000656	6463	Hs_Plasma_Mixed-Mode-Bound	10	185,211	37,185	20.08 %	3,916	17	1,239	437,217	163		1	15	12,068	2014-08-22	25038066	LTQ Orbitrap Velos	Blood Plasma
PXD000657	6446	Hs_Plasma_Mixed-Mode-Depleted	67	688,138	99,542	14.47 %	10,216	46	3,108	440,325	469			8	12,076	2014-08-22	25038066	LTQ Orbitrap Velos	Blood Plasma
PXD000865,RPXD001148	6347	Hs_Adrenal_gland	24	365,860	145,284	39.71 %	41,905	55	1,264	441,589	3,267			3	12,079	2014-06-10	24870543	Orbitrap Elite	Adrenal Gland
PXD000865,RPXD001148	6225	Hs_Cervix_uteri	24	349,623	123,819	35.42 %	25,934	10	390	441,979	2,170		2	1	12,080	2014-06-10	24870543	Orbitrap Elite	Other Female Reproductive Organ
PXD000865,RPXD001148	6316	Hs_Earwax	12	221,710	55,439	25.01 %	8,757	210	1,718	443,697	723		4	41	12,121	2014-06-10	24870543	Orbitrap Elite	Other Anatomical Entities
PXD000865,RPXD001148	6115	Hs_Esophagus	24	367,276	136,298	37.11 %	39,178	43	1,331	445,028	3,199		1	21	12,142	2014-06-10	24870543	Orbitrap Elite	Digestive System
PXD000865,RPXD001148	6129	Hs_Gall_bladder	24	271,888	114,012	41.93 %	25,011	41	965	445,993	1,908			6	12,148	2014-06-10	24870543	Orbitrap Elite	Digestive System
PXD000865,RPXD001148	6250	Hs_Hair_follicle_chymotrypsin	24	308,908	12,596	4.08 %	3,923	1,184	3,764	449,757	414		7	19	12,167	2014-06-10	24870543	Orbitrap Elite	Other Anatomical Entities
PXD000865,RPXD001148	6006	Hs_Kidney	23	261,334	114,661	43.88 %	29,539	44	686	450,443	2,286		7	4	12,171	2014-06-10	24870543	Orbitrap Elite	Kidney
PXD000865,RPXD001148	6099	Hs_Liver	24	273,459	118,947	43.50 %	34,090	21	523	450,966	2,909			5	12,176	2014-06-10	24870543	Orbitrap Elite	Liver
PXD000865,RPXD001148	6097	Hs_Liver_chymotrypsin	24	226,944	71,426	31.47 %	22,346	7,031	20,721	471,687	1,320		26	7	12,183	2014-06-10	24870543	Orbitrap Elite	Liver
PXD000865,RPXD001148	6096	Hs_Liver_LysC	24	354,682	45,446	12.81 %	12,079	89	3,348	475,035	1,536		4	4	12,187	2014-06-10	24870543	Orbitrap Elite	Liver
PXD000865,RPXD001148	6009	Hs_Lung	24	279,313	121,502	43.50 %	28,113	101	492	475,527	2,127			2	12,189	2014-06-10	24870543	Orbitrap Elite	Lung
PXD000865,RPXD001148	6291	Hs_Lymph_node	24	378,996	189,901	50.11 %	44,099	60	1,771	477,298	3,402			1	12,190	2014-06-10	24870543	LTQ Orbitrap Velos	Other Anatomical Entities
PXD000865,RPXD001148	6279	Hs_Milk	12	141,235	48,049	34.02 %	8,643	129	865	478,163	821		2	25	12,215	2014-06-10	24870543	LTQ Orbitrap Velos	Other Anatomical Entities
PXD000865,RPXD001148	6108	Hs_Nasopharynx	24	159,768	23,193	14.52 %	4,945	1	16	478,179	592		3	0	12,215	2014-06-10	24870543	LTQ Orbitrap Velos	Other Respiratory Organ
PXD000865,RPXD001148	6155	Hs_Oral_cavity	24	306,096	109,550	35.79 %	27,067	29	650	478,829	2,198		4	10	12,225	2014-06-10	24870543	LTQ Orbitrap Velos	Digestive System
PXD000865,RPXD001148	6222	Hs_Ovary	24	309,840	121,277	39.14 %	38,499	27	543	479,372	3,002			6	12,231	2014-06-10	24870543	LTQ Orbitrap Velos	Ovary
PXD000865,RPXD001148	6228	Hs_Ovary_chymotrypsin	24	198,265	56,339	28.42 %	18,236	2,472	9,361	488,733	1,341		11	8	12,239	2014-06-10	24870543	LTQ Orbitrap Velos	Ovary
PXD000865,RPXD001148	6221	Hs_Ovary_LysC	24	350,230	55,773	15.92 %	16,961	246	4,516	493,249	2,395		1	7	12,246	2014-06-10	24870543	Orbitrap Elite	Ovary
PXD000865,RPXD001148	6012	Hs_Pancreas	24	361,346	139,725	38.67 %	29,122	23	403	493,652	2,364		1	2	12,248	2014-06-10	24870543	Orbitrap Elite	Pancreas
PXD000865,RPXD001148	6333	Hs_Placenta	12	225,424	90,132	39.98 %	36,398	75	1,301	494,953	2,993		1	26	12,274	2014-06-10	24870543	Orbitrap Elite	Placenta
PXD000865,RPXD001148	6237	Hs_Prostate	24	399,445	168,064	42.07 %	39,077	42	737	495,690	2,851			6	12,280	2014-06-10	24870543	LTQ Orbitrap Velos	Other Male Reproductive Organ
PXD000865,RPXD001148	6231	Hs_Prostate_chymotrypsin	24	162,207	17,405	10.73 %	4,676	401	990	496,680	349		5	0	12,280	2014-06-10	24870543	LTQ Orbitrap Velos	Other Male Reproductive Organ
PXD000865,RPXD001148	6242	Hs_Prostate_LysC	24	367,824	110,568	30.06 %	21,293	402	4,127	500,807	2,111		15	2	12,282	2014-06-10	24870543	LTQ Orbitrap Velos	Other Male Reproductive Organ
PXD000865,RPXD001148	6120	Hs_Rectum	24	203,365	93,752	46.10 %	21,255	7	132	500,939	2,150		2	1	12,283	2014-06-10	24870543	LTQ Orbitrap Velos	Digestive System
PXD000865,RPXD001148	6254	Hs_Saliva	12	131,287	39,412	30.02 %	9,907	78	760	501,699	758		3	13	12,296	2014-06-10	24870543	LTQ Orbitrap Velos	Digestive System
PXD000865,RPXD001148	6328	Hs_Salivary_gland	24	421,325	189,780	45.04 %	50,588	82	1,136	502,835	3,490		8	6	12,302	2014-06-10	24870543	Orbitrap Elite	Other Anatomical Entities
PXD000865,RPXD001148	6243	Hs_Seminal_vesicle	24	364,824	126,387	34.64 %	27,922	81	657	503,492	2,115		3	3	12,305	2014-06-10	24870543	Orbitrap Elite	Other Male Reproductive Organ
PXD000865,RPXD001148	6269	Hs_Skin	24	219,450	104,861	47.78 %	23,330	25	290	503,782	2,247		1	4	12,309	2014-06-10	24870543	LTQ Orbitrap Velos	Skin
PXD000865,RPXD001148	6017	Hs_Spleen	24	373,464	158,412	42.42 %	37,921	69	1,013	504,795	2,723		3	2	12,311	2014-06-10	24870543	Orbitrap Elite	Spleen
PXD000865,RPXD001148	6016	Hs_Spleen_chymotrypsin	24	191,474	51,960	27.14 %	17,684	2,657	5,900	510,695	1,422		19	0	12,311	2014-06-10	24870543	LTQ Orbitrap Velos	Spleen
PXD000865,RPXD001148	6015	Hs_Spleen_LysC	24	380,571	106,554	28.00 %	28,632	1,045	6,391	517,086	3,091		4	6	12,317	2014-06-10	24870543	Orbitrap Elite	Spleen
PXD000865,RPXD001148	6198	Hs_Stomach	24	397,699	173,473	43.62 %	46,778	81	932	518,018	3,420			18	12,335	2014-06-10	24870543	Orbitrap Elite	Digestive System
PXD000865,RPXD001148	6234	Hs_Testis	24	394,030	172,448	43.77 %	50,536	105	1,459	519,477	3,429		1	6	12,341	2014-06-10	24870543	Orbitrap Elite	Testis
PXD000865,RPXD001148	6239	Hs_Testis_chymotrypsin	24	203,611	45,753	22.47 %	15,525	1,731	3,600	523,077	1,221		16	1	12,342	2014-06-10	24870543	LTQ Orbitrap Velos	Testis
PXD000865,RPXD001148	6244	Hs_Testis_chymotrypsin_hSAX	24	184,552	59,843	32.43 %	21,905	4,464	11,628	534,705	1,990		20	9	12,351	2014-06-10	24870543	LTQ Orbitrap Velos	Testis
